epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.5336134433746338,0.0010000000474974513,1.6787583827972412,0.7319327592849731,0.7411764860153198,1.169267177581787,0.8941176533699036
1,0.8218487501144409,0.0010000000474974513,0.6071901917457581,0.9588235020637512,0.8117647171020508,0.8188432455062866,0.929411768913269
2,0.8882352709770203,0.0010000000474974513,0.42857837677001953,0.9806722402572632,0.8705882430076599,0.6096473336219788,0.9529411792755127
3,0.9117646813392639,0.0010000000474974513,0.34563353657722473,0.9848739504814148,0.8705882430076599,0.5327123403549194,0.9647058844566345
4,0.9252100586891174,0.0010000000474974513,0.2813692092895508,0.9899159669876099,0.8941176533699036,0.42134466767311096,0.9647058844566345
5,0.938655436038971,0.0010000000474974513,0.23588953912258148,0.9941176176071167,0.8941176533699036,0.390236496925354,0.9764705896377563
6,0.9403361082077026,0.0010000000474974513,0.22628381848335266,0.9966386556625366,0.8823529481887817,0.3565044403076172,0.9764705896377563
7,0.9630252122879028,0.0010000000474974513,0.1841898113489151,0.9974789619445801,0.8941176533699036,0.35582292079925537,0.9764705896377563
8,0.9647058844566345,0.0010000000474974513,0.1767539530992508,0.9949579834938049,0.8823529481887817,0.32058730721473694,0.9647058844566345
9,0.9647058844566345,0.0010000000474974513,0.16976414620876312,0.9991596341133118,0.9058823585510254,0.30303555727005005,0.9764705896377563
10,0.9638655185699463,0.0010000000474974513,0.16622719168663025,0.9966386556625366,0.8823529481887817,0.308267742395401,0.9764705896377563
11,0.970588207244873,0.0010000000474974513,0.1459120213985443,1.0,0.8941176533699036,0.3130929470062256,0.9882352948188782
12,0.9756302237510681,0.00020000000949949026,0.1304553747177124,1.0,0.8941176533699036,0.28829291462898254,0.9882352948188782
13,0.9697479009628296,0.00020000000949949026,0.14981745183467865,0.9991596341133118,0.8941176533699036,0.2792481482028961,0.9882352948188782
14,0.978151261806488,0.00020000000949949026,0.1325424313545227,0.9991596341133118,0.8941176533699036,0.2867278754711151,0.9882352948188782
15,0.9798319339752197,0.00020000000949949026,0.10989443957805634,0.9991596341133118,0.8941176533699036,0.28429800271987915,0.9882352948188782
16,0.9773108959197998,4.0000002627493814e-05,0.12487509846687317,0.9974789619445801,0.8941176533699036,0.27668818831443787,0.9882352948188782
17,0.9815126061439514,4.0000002627493814e-05,0.11679980158805847,1.0,0.8941176533699036,0.2759937644004822,0.9882352948188782
18,0.9789915680885315,4.0000002627493814e-05,0.11893516778945923,0.9991596341133118,0.8941176533699036,0.2740413546562195,0.9882352948188782
19,0.9815126061439514,4.0000002627493814e-05,0.11894428730010986,1.0,0.8941176533699036,0.27341488003730774,0.9882352948188782
